item,current_path,decision,target_owner,dependencies,tests,docs,notes
emit_osc8_close,crates/jackin-tui/src/ansi.rs:204,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn emit_osc8_close(buf: &mut Vec<u8>) {
move_to,crates/jackin-tui/src/ansi.rs:209,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn move_to(buf: &mut Vec<u8>, row: u16, col: u16) {"
fg,crates/jackin-tui/src/ansi.rs:214,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn fg(buf: &mut Vec<u8>, rgb: Rgb) {"
bg,crates/jackin-tui/src/ansi.rs:219,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn bg(buf: &mut Vec<u8>, rgb: Rgb) {"
strip_bytes,crates/jackin-tui/src/ansi_text.rs:15,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn strip_bytes(bytes: &[u8]) -> Vec<u8> {
styled_spans,crates/jackin-tui/src/ansi_text.rs:42,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn styled_spans(input: &str, default_style: Style) -> Vec<Span<'static>> {"
BOTTOM_CHROME_ROWS,crates/jackin-tui/src/components/bottom_chrome.rs:13,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const BOTTOM_CHROME_ROWS: u16 = 3;
BottomChromeAreas,crates/jackin-tui/src/components/bottom_chrome.rs:16,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct BottomChromeAreas {
fn,crates/jackin-tui/src/components/bottom_chrome.rs:24,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn bottom_chrome_areas(area: Rect) -> BottomChromeAreas {
BrandHeader,crates/jackin-tui/src/components/brand_header.rs:15,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct BrandHeader<'a> {
fn,crates/jackin-tui/src/components/brand_header.rs:21,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(label: &'a str) -> Self {
brand_header_line,crates/jackin-tui/src/components/brand_header.rs:35,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn brand_header_line(label: &str) -> Line<'static> {
render_brand_header,crates/jackin-tui/src/components/brand_header.rs:49,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_brand_header(frame: &mut ratatui::Frame<'_>, area: Rect, label: &str) {"
ButtonStripItem,crates/jackin-tui/src/components/button_strip.rs:18,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ButtonStripItem<'a> {
fn,crates/jackin-tui/src/components/button_strip.rs:25,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(label: &'a str) -> Self {
fn,crates/jackin-tui/src/components/button_strip.rs:33,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn disabled(label: &'a str) -> Self {
ButtonStrip,crates/jackin-tui/src/components/button_strip.rs:42,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ButtonStrip<'a> {
fn,crates/jackin-tui/src/components/button_strip.rs:50,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(items: &'a [ButtonStripItem<'a>]) -> Self {
fn,crates/jackin-tui/src/components/button_strip.rs:59,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn focused(mut self, focused: usize) -> Self {"
fn,crates/jackin-tui/src/components/button_strip.rs:65,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn gap(mut self, gap: &'a str) -> Self {"
line,crates/jackin-tui/src/components/button_strip.rs:71,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn line(self) -> Line<'static> {
button_rects,crates/jackin-tui/src/components/button_strip.rs:76,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn button_rects(self, area: Rect) -> Vec<Rect> {"
button_strip_line,crates/jackin-tui/src/components/button_strip.rs:102,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn button_strip_line(
button_rects,crates/jackin-tui/src/components/button_strip.rs:119,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn button_rects(area: Rect, items: &[ButtonStripItem<'_>], gap: &str) -> Vec<Rect> {"
button_label,crates/jackin-tui/src/components/button_strip.rs:151,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn button_label(label: &str) -> String {
button_style,crates/jackin-tui/src/components/button_strip.rs:156,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn button_style(focused: bool, disabled: bool) -> Style {"
ConfirmAction,crates/jackin-tui/src/components/confirm_dialog.rs:31,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ConfirmAction {
CONFIRM_KEYMAP,crates/jackin-tui/src/components/confirm_dialog.rs:113,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub static CONFIRM_KEYMAP: Keymap<ConfirmAction> = Keymap::new(CONFIRM_BINDINGS);
confirm_hint_spans,crates/jackin-tui/src/components/confirm_dialog.rs:118,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn confirm_hint_spans() -> Vec<HintSpan<'static>> {
ConfirmFocus,crates/jackin-tui/src/components/confirm_dialog.rs:123,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ConfirmFocus {
ConfirmState,crates/jackin-tui/src/components/confirm_dialog.rs:133,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ConfirmState {
ConfirmKind,crates/jackin-tui/src/components/confirm_dialog.rs:141,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ConfirmKind {
new,crates/jackin-tui/src/components/confirm_dialog.rs:156,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new(prompt: impl Into<String>) -> Self {
details,crates/jackin-tui/src/components/confirm_dialog.rs:167,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn details(
with_focus_yes,crates/jackin-tui/src/components/confirm_dialog.rs:187,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn with_focus_yes(mut self) -> Self {
with_focus_no,crates/jackin-tui/src/components/confirm_dialog.rs:195,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn with_focus_no(mut self) -> Self {
title,crates/jackin-tui/src/components/confirm_dialog.rs:201,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn title(&self) -> &str {
fn,crates/jackin-tui/src/components/confirm_dialog.rs:206,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn kind(&self) -> &ConfirmKind {
handle_key,crates/jackin-tui/src/components/confirm_dialog.rs:210,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<bool> {"
required_height,crates/jackin-tui/src/components/confirm_dialog.rs:229,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn required_height(state: &ConfirmState) -> u16 {
fn,crates/jackin-tui/src/components/confirm_dialog.rs:253,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn width_pct(state: &ConfirmState) -> u16 {
exit_confirm_state,crates/jackin-tui/src/components/confirm_dialog.rs:267,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn exit_confirm_state() -> ConfirmState {
exit_confirm_state_with_data_loss,crates/jackin-tui/src/components/confirm_dialog.rs:276,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn exit_confirm_state_with_data_loss() -> ConfirmState {
render_confirm_dialog,crates/jackin-tui/src/components/confirm_dialog.rs:288,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_confirm_dialog(frame: &mut Frame<'_>, area: Rect, state: &ConfirmState) {"
confirm_button_hit,crates/jackin-tui/src/components/confirm_dialog.rs:327,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn confirm_button_hit(
ContainerInfoRow,crates/jackin-tui/src/components/container_info.rs:31,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ContainerInfoRow {
new,crates/jackin-tui/src/components/container_info.rs:44,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(label: impl Into<String>, value: impl Into<String>) -> Self {"
fn,crates/jackin-tui/src/components/container_info.rs:57,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn accent(mut self, accent: Color) -> Self {"
fn,crates/jackin-tui/src/components/container_info.rs:64,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn accent_color(&self) -> Option<Color> {
hyperlink,crates/jackin-tui/src/components/container_info.rs:69,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink(mut self, href: impl Into<String>) -> Self {"
fn,crates/jackin-tui/src/components/container_info.rs:75,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn copyable(mut self) -> Self {
fn,crates/jackin-tui/src/components/container_info.rs:81,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn emphasised(mut self) -> Self {
label,crates/jackin-tui/src/components/container_info.rs:87,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn label(&self) -> &str {
value,crates/jackin-tui/src/components/container_info.rs:92,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn value(&self) -> &str {
href,crates/jackin-tui/src/components/container_info.rs:97,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn href(&self) -> Option<&str> {
fn,crates/jackin-tui/src/components/container_info.rs:102,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn is_copyable(&self) -> bool {
DebugInfo,crates/jackin-tui/src/components/container_info.rs:123,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct DebugInfo {
into_state,crates/jackin-tui/src/components/container_info.rs:145,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn into_state(self) -> ContainerInfoState {
ContainerInfoState,crates/jackin-tui/src/components/container_info.rs:181,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ContainerInfoState {
new,crates/jackin-tui/src/components/container_info.rs:195,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(title: impl Into<String>, rows: Vec<ContainerInfoRow>) -> Self {"
title,crates/jackin-tui/src/components/container_info.rs:207,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn title(&self) -> &str {
rows,crates/jackin-tui/src/components/container_info.rs:212,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn rows(&self) -> &[ContainerInfoRow] {
push_row,crates/jackin-tui/src/components/container_info.rs:216,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn push_row(&mut self, row: ContainerInfoRow) {"
handle_key,crates/jackin-tui/src/components/container_info.rs:220,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<()> {"
set_viewport,crates/jackin-tui/src/components/container_info.rs:243,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn set_viewport(&mut self, dialog_rect: Rect) {"
content_width,crates/jackin-tui/src/components/container_info.rs:289,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn content_width(&self) -> usize {
content_height,crates/jackin-tui/src/components/container_info.rs:306,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn content_height(&self) -> usize {
clamp_scroll,crates/jackin-tui/src/components/container_info.rs:316,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn clamp_scroll(&mut self, dialog_rect: Rect) {"
mark_copied,crates/jackin-tui/src/components/container_info.rs:330,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn mark_copied(&mut self, row: usize) {"
fn,crates/jackin-tui/src/components/container_info.rs:335,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn copied_row(&self) -> Option<usize> {
set_hovered_row,crates/jackin-tui/src/components/container_info.rs:342,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn set_hovered_row(&mut self, row: Option<usize>) {"
fn,crates/jackin-tui/src/components/container_info.rs:347,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn hovered_row(&self) -> Option<usize> {
keyboard_copy_payload,crates/jackin-tui/src/components/container_info.rs:357,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn keyboard_copy_payload(&self) -> Option<(usize, String)> {"
clamp_dialog_scroll,crates/jackin-tui/src/components/container_info.rs:370,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn clamp_dialog_scroll(
debug_info_hint_spans,crates/jackin-tui/src/components/container_info.rs:396,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn debug_info_hint_spans(axes: crate::components::ScrollAxes) -> Vec<crate::HintSpan<'static>> {
required_height,crates/jackin-tui/src/components/container_info.rs:420,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn required_height(state: &ContainerInfoState) -> u16 {
render_container_info,crates/jackin-tui/src/components/container_info.rs:427,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_container_info(frame: &mut Frame<'_>, area: Rect, state: &ContainerInfoState) {"
copy_payload_at,crates/jackin-tui/src/components/container_info.rs:474,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn copy_payload_at(
hyperlink_payload_at,crates/jackin-tui/src/components/container_info.rs:491,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn hyperlink_payload_at(
hyperlink_regions,crates/jackin-tui/src/components/container_info.rs:513,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink_regions(area: Rect, state: &ContainerInfoState) -> Vec<(Rect, String)> {"
hyperlink_overlay,crates/jackin-tui/src/components/container_info.rs:542,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink_overlay(area: Rect, state: &ContainerInfoState) -> Vec<u8> {"
"pub use crate::scroll::{ScrollAxes, ScrollAxis, mouse_scroll_delta};",crates/jackin-tui/src/components/dialog_layout.rs:35,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub use crate::scroll::{ScrollAxes, ScrollAxis, mouse_scroll_delta};"
DIALOG_HORIZONTAL_SCROLL_STEP,crates/jackin-tui/src/components/dialog_layout.rs:38,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const DIALOG_HORIZONTAL_SCROLL_STEP: u16 = crate::scroll::DEFAULT_HORIZONTAL_SCROLL_STEP;
DialogBodyScroll,crates/jackin-tui/src/components/dialog_layout.rs:47,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct DialogBodyScroll {
fn,crates/jackin-tui/src/components/dialog_layout.rs:54,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new() -> Self {
handle_key,crates/jackin-tui/src/components/dialog_layout.rs:62,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn handle_key(
handle_key_for_axes,crates/jackin-tui/src/components/dialog_layout.rs:83,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn handle_key_for_axes(
on_mouse_scroll,crates/jackin-tui/src/components/dialog_layout.rs:135,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn on_mouse_scroll(&mut self, kind: MouseEventKind, modifiers: KeyModifiers) -> bool {"
on_mouse_scroll_for_axes,crates/jackin-tui/src/components/dialog_layout.rs:146,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn on_mouse_scroll_for_axes(
handle_raw_key_for_axes,crates/jackin-tui/src/components/dialog_layout.rs:170,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_raw_key_for_axes(&mut self, key: &[u8], axes: ScrollAxes) -> bool {"
on_sgr_wheel_button_for_axes,crates/jackin-tui/src/components/dialog_layout.rs:195,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn on_sgr_wheel_button_for_axes(&mut self, button: u8, axes: ScrollAxes) -> bool {"
on_mouse_scroll_for_size,crates/jackin-tui/src/components/dialog_layout.rs:220,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn on_mouse_scroll_for_size(
render_scrollbars,crates/jackin-tui/src/components/dialog_layout.rs:240,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_scrollbars(
render_scrollable_dialog_body,crates/jackin-tui/src/components/dialog_layout.rs:280,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_scrollable_dialog_body(
dialog_scroll_axes,crates/jackin-tui/src/components/dialog_layout.rs:314,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn dialog_scroll_axes(
scroll_hint_spans,crates/jackin-tui/src/components/dialog_layout.rs:338,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scroll_hint_spans(axes: ScrollAxes) -> Vec<crate::HintSpan<'static>> {
dialog_inner_chunks,crates/jackin-tui/src/components/dialog_layout.rs:348,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn dialog_inner_chunks(inner: Rect, content_rows: Option<u16>) -> [Rect; 5] {"
fn,crates/jackin-tui/src/components/dialog_layout.rs:366,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn dialog_inner_height(content_rows: u16) -> u16 {
DialogBorder,crates/jackin-tui/src/components/dialog_layout.rs:374,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum DialogBorder {
render_dialog_shell,crates/jackin-tui/src/components/dialog_layout.rs:389,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_dialog_shell(
SinglePaneKind,crates/jackin-tui/src/components/diff_view.rs:46,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum SinglePaneKind {
DiffViewState,crates/jackin-tui/src/components/diff_view.rs:59,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct DiffViewState {
side_by_side,crates/jackin-tui/src/components/diff_view.rs:82,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn side_by_side(before: &str, after: &str, before_label: &str, after_label: &str) -> Self {"
single_pane,crates/jackin-tui/src/components/diff_view.rs:146,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn single_pane(content: &str, kind: SinglePaneKind, label: &str) -> Self {"
total_rows,crates/jackin-tui/src/components/diff_view.rs:164,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn total_rows(&self) -> usize {
scroll_y,crates/jackin-tui/src/components/diff_view.rs:173,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scroll_y(&self) -> u16 {
set_scroll_y,crates/jackin-tui/src/components/diff_view.rs:179,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn set_scroll_y(&mut self, scroll_y: u16) {"
scroll_up,crates/jackin-tui/src/components/diff_view.rs:184,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scroll_up(&mut self) {
scroll_down,crates/jackin-tui/src/components/diff_view.rs:189,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scroll_down(&mut self) {
page_up,crates/jackin-tui/src/components/diff_view.rs:195,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn page_up(&mut self, viewport_height: u16) {"
page_down,crates/jackin-tui/src/components/diff_view.rs:201,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn page_down(&mut self, viewport_height: u16) {"
handle_key,crates/jackin-tui/src/components/diff_view.rs:207,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> crate::ModalOutcome<()> {"
